household_id,ea_id,saq01,saq14,pw_w4,adulteq,hh_size,food_cons_ann,nonfood_cons_ann,educ_cons_ann,fafh_cons_ann,utilities_cons_ann,total_cons_ann,nom_foodcons_aeq,nom_nonfoodcons_aeq,nom_educcons_aeq,nom_utilities_aeq,nom_totcons_aeq,spat_totcons_aeq,cons_quint
130102088800408105,130102088800408,HARAR,RURAL,114.8137254901961,3.9800000190734863,5,65996.666015625,36996,20500,18460,2664,144616.65625,21220.267578125,9295.4775390625,5150.75390625,669.34674072265625,36335.84375,36958.484375,5
150101010101013214,150101010101013,DIRE DAWA,URBAN,178.7769679300291,2.7699999809265137,4,133852.1400604248,16898,9090,7800,4560,172200.140625,51137.95703125,6100.36083984375,3281.58837890625,1646.2093505859375,62166.1171875,58654.765625,5
150101010100383143,150101010100383,DIRE DAWA,URBAN,191.8631614322375,1.0399999618530273,1,0,3824,0,38480,5400,47704,37000,3676.923095703125,0,5192.30810546875,45869.234375,43278.3828125,5
130102088800104154,130102088800104,HARAR,RURAL,153.2360380116959,3.869999885559082,6,22126,7940,200,0,840,31106,5717.31298828125,2051.6796875,51.679588317871094,217.0542755126953,8037.7265625,8175.45849609375,2
010106088801204040,010106088801204,TIGRAY,RURAL,3321.888954703833,3.6599998474121094,4,11294.42578125,7312,1000,0,0,19606.42578125,3085.90869140625,1997.8143310546875,273.22406005859375,0,5356.947265625,5490.9052734375,1
140905010900503133,140905010900503,ADDIS ABABA,URBAN,1199.463854606932,2.559999942779541,3,38646.400390625,47457,0,0,6000,92103.3984375,15096.2509765625,18537.890625,0,2343.75,35977.890625,34512.0859375,5
130108010100301188,130108010100301,HARAR,URBAN,128.2769639065818,3.880000114440918,5,92248,18260,350,0,6120,116978,23775.2578125,4706.185546875,90.20618438720703,1577.319580078125,30148.96875,30198.798828125,5
040302010100105222,040302010100105,OROMIA,URBAN,7083.542787878788,4.720000267028809,6,879386.560546875,4282,520,1040,1380,886608.5625,186531.046875,907.20330810546875,110.16948699951172,292.37286376953125,187840.78125,204309.921875,5
141008011000847001,141008011000847,ADDIS ABABA,URBAN,2025.308687782805,3.93999981880188,4,14404,1480,0,0,7800,23684,3655.837646484375,375.634521484375,0,1979.695556640625,6011.16796875,5766.26171875,1
140810010801057100,140810010801057,ADDIS ABABA,URBAN,1260.000553846154,3.6399998664855957,4,91572,82764,14520,0,37800,226656,25157.14453125,22737.36328125,3989.01123046875,10384.6162109375,62268.1328125,59731.21484375,5
060105088803201022,060105088803201,BENISHANGUL GUMUZ,RURAL,793.9507325013564,3.4700000286102295,5,31253.793090820313,6236,210,0,24,37723.79296875,9006.8564453125,1797.1181640625,60.51873016357422,6.916426658630371,10871.41015625,12005.1962890625,3
041013088801410095,041013088801410,OROMIA,RURAL,14543.4324009324,4.019999980926514,6,35100,710,0,0,0,35810,8731.34375,176.61691284179687,0,0,8907.9599609375,9276.841796875,2
040212088800506123,040212088800506,OROMIA,RURAL,12467.55568934377,1.659999966621399,2,35220.11962890625,2496,0,1820,840,40376.12109375,22313.326171875,1503.614501953125,0,506.02410888671875,24322.96484375,25330.185546875,5
040116010100105141,040116010100105,OROMIA,URBAN,6433.527051282052,5.440000057220459,7,38168,10460,300,0,720,49648,7016.17626953125,1922.7940673828125,55.147056579589844,132.35293579101562,9126.470703125,9926.6435546875,2
060103088806701142,060103088806701,BENISHANGUL GUMUZ,RURAL,112.1987486198013,1.7999999523162842,2,145444,8948,0,0,4320,158712,80802.2265625,4971.111328125,0,2400,88173.3359375,97368.9921875,5
070110010100205093,070110010100205,SNNP,URBAN,3619.93316163846,3.759999990463257,5,32547.8583984375,26070,4745,0,1440,64802.859375,8656.345703125,6933.5107421875,1261.9681396484375,382.9787292480469,17234.802734375,18636.935546875,4
070418088801803043,070418088801803,SNNP,RURAL,7280.371611445784,3.0199999809265137,4,12844,4075,80,1664,360,19023,4803.9736328125,1349.3377685546875,26.490066528320313,119.2052993774414,6299.0068359375,6961.78369140625,1
041112010100108124,041112010100108,OROMIA,URBAN,6019.954575163399,3.25,5,46526.480041503906,16530,0,2600,2640,68296.484375,15115.83984375,5086.15380859375,0,812.30767822265625,21014.302734375,22856.75390625,4
050703088800901003,050703088800901,SOMALI,RURAL,1984.694198790628,3.4200000762939453,4,103827.95446777344,3000,100,0,360,107287.953125,30359.05078125,877.1929931640625,29.239765167236328,105.26315307617187,31370.74609375,26268.544921875,5
150101088803701077,150101088803701,DIRE DAWA,RURAL,210.7617063492063,3.1700000762939453,5,30555.20001220703,3480,0,0,0,34035.19921875,9638.8642578125,1097.791748046875,0,0,10736.6552734375,11104.060546875,3
050205088802405042,050205088802405,SOMALI,RURAL,1710.462784090909,2.6999998092651367,3,185768.35986328125,4804,0,0,0,190572.359375,68803.1015625,1779.2593994140625,0,0,70582.359375,59102.703125,5
071304010100212050,071304010100212,SNNP,URBAN,3669.230503795721,1.6700000762939453,3,755127.22119140625,11400,0,0,600,767127.25,452171.96875,6826.34716796875,0,359.28143310546875,459357.625,496728.5625,5
150101088803701057,150101088803701,DIRE DAWA,RURAL,210.7617063492063,4.909999847412109,7,28826.819091796875,20160,0,0,0,48986.8203125,5871.04296875,4105.90625,0,0,9976.94921875,10318.357421875,2
030803030100101130,030803030100101,AMHARA,URBAN,5267.17759600091,0.7400000095367432,1,6109.27197265625,72,0,1040,216,7437.27197265625,9661.177734375,97.29729461669922,0,291.8918762207031,10050.3671875,10785.546875,2
120302088800803060,120302088800803,GAMBELA,RURAL,225.4979235528435,2.859999895095825,3,19277.655212402344,5837,2970,312,0,28396.654296875,6849.5302734375,2040.9091796875,1038.4615478515625,0,9928.900390625,10139.86328125,2
120301010100101124,120301010100101,GAMBELA,URBAN,134.6062222222222,2.3400001525878906,3,27764.413803100586,15296,0,0,0,43060.4140625,11865.1337890625,6536.751953125,0,0,18401.884765625,18638.14453125,4
030103088803101110,030103088803101,AMHARA,RURAL,8321.922296050203,2.190000057220459,3,18668,4549,0,1404,0,24621,9165.296875,2077.1689453125,0,0,11242.4658203125,11263.669921875,3
020106010100102017,020106010100102,AFAR,URBAN,248.3831995346132,0.8199999928474426,1,9152,1078,0,0,1320,11550,11160.9755859375,1314.6341552734375,0,1609.756103515625,14085.3662109375,13733.12890625,3
031201088800502054,031201088800502,AMHARA,RURAL,8051.691331923891,5,6,33612.42822265625,1865,80,1820,300,37677.4296875,7086.48583984375,373,16,60,7535.48583984375,7549.6982421875,2
050405088800906105,050405088800906,SOMALI,RURAL,2208.391384863124,4.079999923706055,5,13312,1660,300,1040,0,16312,3517.647216796875,406.8627624511719,73.52941131591797,0,3998.039306640625,3347.790283203125,1
031101088800715023,031101088800715,AMHARA,RURAL,869.0942472460221,1.5,2,9209.583068847656,340,0,7020,0,16569.58203125,10819.7216796875,226.6666717529297,0,0,11046.3876953125,11067.2216796875,3
070501088800605073,070501088800605,SNNP,RURAL,7130.536321138212,5.539999961853027,6,37543.91015625,9870,772,6240,600,55025.91015625,7903.23291015625,1781.5885009765625,139.3501739501953,108.30325317382812,9932.474609375,10977.5625,2
140405010400515151,140405010400515,ADDIS ABABA,URBAN,1609.560372005044,3.440000057220459,4,45102.72021484375,11876,700,16640,4740,79058.71875,17948.46484375,3452.325439453125,203.48837280273437,1377.906982421875,22982.185546875,22045.849609375,4
150101088801705080,150101088801705,DIRE DAWA,RURAL,238.7512117346938,4.380000114440918,6,69935.186279296875,3630,430,0,0,73995.1875,15966.9375,828.76708984375,98.17351531982422,0,16893.87890625,17471.982421875,4
020203088800202066,020203088800202,AFAR,RURAL,458.3689655172413,6.699999809265137,9,35620,14620,175,0,3000,53415,5316.41796875,2182.089599609375,26.119403839111328,447.7611999511719,7972.38818359375,7693.63427734375,2
140809010800932165,140809010800932,ADDIS ABABA,URBAN,1250.13963930806,1.600000023841858,2,28912,7816,400,0,720,37848,18070,4885,250,450,23655,22691.251953125,4
140107010100712178,140107010100712,ADDIS ABABA,URBAN,1337.20989010989,2.299999952316284,3,14976,5492,0,4680,600,25748,8546.0869140625,2387.826171875,0,260.86956787109375,11194.783203125,10738.6875,2
040818088802107057,040818088802107,OROMIA,RURAL,14079.2803030303,5.819999694824219,7,28360.36962890625,2798,176,0,1296,32630.369140625,4872.916015625,480.75604248046875,30.240550994873047,222.680419921875,5606.5927734375,5838.763671875,1
041310088801505039,041310088801505,OROMIA,RURAL,13344.37281468532,5.829999923706055,8,42271.76107788086,6450,450,11960,1200,62331.76171875,9302.189453125,1106.3465576171875,77.18696594238281,205.8319091796875,10691.5546875,11134.294921875,3
140309010300913038,140309010300913,ADDIS ABABA,URBAN,1126.494135146621,2.0399999618530273,2,30836,30732,26020,41600,9600,138788,35507.84375,15064.7060546875,12754.90234375,4705.88232421875,68033.3359375,65261.53125,5
150101088800302099,150101088800302,DIRE DAWA,RURAL,220.9928571428572,5.720000267028809,7,35220.544921875,2256,850,0,0,38326.546875,6157.4375,394.40557861328125,148.6013946533203,0,6700.44482421875,6929.73193359375,1
041803010100206022,041803010100206,OROMIA,URBAN,6165.263823529411,6.299999713897705,7,58812,20737,4310,1300,8472,93631,9541.587890625,3291.58740234375,684.12701416015625,1344.761962890625,14862.064453125,16165.111328125,4
030409010100102004,030409010100102,AMHARA,URBAN,4940.423298298299,3.7200000286102295,6,94596.3193359375,11594,0,8216,1740,116146.3203125,27637.720703125,3116.666748046875,0,467.741943359375,31222.12890625,33506.015625,5
030707088800708117,030707088800708,AMHARA,RURAL,8377.81292749658,2.75,4,31141.63833618164,1632,0,3120,0,35893.640625,12458.77734375,593.45452880859375,0,0,13052.2333984375,13076.8505859375,3
150101088802301049,150101088802301,DIRE DAWA,RURAL,280.1119654231119,4.110000133514404,5,53814.908752441406,7640,1500,1040,480,64474.91015625,13346.6923828125,1858.8807373046875,364.9635009765625,116.78831481933594,15687.3251953125,16224.140625,4
140710010701008032,140710010701008,ADDIS ABABA,URBAN,1305.132891246684,2.5399999618530273,3,36244,7646,9100,10400,2220,65610,18363.779296875,3010.236328125,3582.67724609375,874.0157470703125,25830.708984375,24778.318359375,5
140205010200504066,140205010200504,ADDIS ABABA,URBAN,1130.79494062984,3.799999952316284,4,20384,4916,1550,7800,1800,36450,7416.84228515625,1293.6842041015625,407.8947448730469,473.6842041015625,9592.10546875,9201.3056640625,2
