ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs2aq01,cs2aq02,cs2aq03,cs2aq04,cs2aq05,cs2aq06,cs2aq06_os,cs2aq07,cs2aq07_os,cs2aq08,cs2aq09,cs2aq10,cs2aq11
010606010100423,2. URBAN,1. TIGRAY,06,06,1,1,004,23,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,2. NO,2. NO,,1. YES
010701088802004,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. YES,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010702010100112,2. URBAN,1. TIGRAY,07,02,1,1,001,12,1. YES,1. YES,1. YES,1. YES,1. YES,4. Stone,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,2. NO
010702088801409,1. RURAL,1. TIGRAY,07,02,8,88,014,09,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
010703088801107,1. RURAL,1. TIGRAY,07,03,8,88,011,07,2. NO,1. YES,2. NO,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,1. YES
010704088800402,1. RURAL,1. TIGRAY,07,04,8,88,004,02,1. YES,1. YES,1. YES,1. YES,1. YES,5. Stone and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
020101010100104,2. URBAN,2. AFAR,01,01,1,1,001,04,1. YES,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,2. NO
020101088800704,1. RURAL,2. AFAR,01,01,8,88,007,04,2. NO,2. NO,2. NO,2. NO,2. NO,1. Wood and mud,,3. Thatch,,2. NO,2. NO,,2. NO
020102010100103,2. URBAN,2. AFAR,01,02,1,1,001,03,2. NO,2. NO,2. NO,1. YES,2. NO,15. Corrugated iron sheet,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,2. NO
020103088800401,1. RURAL,2. AFAR,01,03,8,88,004,01,2. NO,2. NO,1. YES,1. YES,2. NO,1. Wood and mud,,3. Thatch,,2. NO,2. NO,,2. NO
020103088801102,1. RURAL,2. AFAR,01,03,8,88,011,02,2. NO,2. NO,2. NO,2. NO,2. NO,2. Wood and Thatch,,4. Wood and Mud,,2. NO,2. NO,,2. NO
020106010100102,2. URBAN,2. AFAR,01,06,1,1,001,02,1. YES,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,2. NO
020106088801201,1. RURAL,2. AFAR,01,06,8,88,012,01,2. NO,2. NO,1. YES,1. YES,2. NO,1. Wood and mud,,3. Thatch,,2. NO,2. NO,,2. NO
020108088800804,1. RURAL,2. AFAR,01,08,8,88,008,04,2. NO,2. NO,2. NO,2. NO,2. NO,3. Wood,,6. Plastic Canvas,,1. YES,2. NO,,2. NO
020201088800301,1. RURAL,2. AFAR,02,01,8,88,003,01,2. NO,1. YES,1. YES,1. YES,2. NO,2. Wood and Thatch,,4. Wood and Mud,,2. NO,2. NO,,2. NO
020202020100102,2. URBAN,2. AFAR,02,02,2,1,001,02,1. YES,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
020202088800202,1. RURAL,2. AFAR,02,02,8,88,002,02,2. NO,2. NO,1. YES,2. NO,1. YES,4. Stone,,6. Plastic Canvas,,2. NO,2. NO,,2. NO
020203010100206,2. URBAN,2. AFAR,02,03,1,1,002,06,1. YES,2. NO,1. YES,1. YES,1. YES,"8. Blocks, unplastered",,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,2. NO
020203088800202,1. RURAL,2. AFAR,02,03,8,88,002,02,2. NO,2. NO,2. NO,1. YES,2. NO,3. Wood,,6. Plastic Canvas,,1. YES,2. NO,,2. NO
020203088800905,1. RURAL,2. AFAR,02,03,8,88,009,05,1. YES,1. YES,1. YES,1. YES,1. YES,3. Wood,,6. Plastic Canvas,,1. YES,2. NO,,2. NO
020205088800207,1. RURAL,2. AFAR,02,05,8,88,002,07,2. NO,1. YES,1. YES,1. YES,1. YES,2. Wood and Thatch,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,2. NO
020205088800715,1. RURAL,2. AFAR,02,05,8,88,007,15,1. YES,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
020206088800113,1. RURAL,2. AFAR,02,06,8,88,001,13,1. YES,1. YES,1. YES,1. YES,1. YES,4. Stone,,4. Wood and Mud,,2. NO,1. YES,2. NO,1. YES
020206088800803,1. RURAL,2. AFAR,02,06,8,88,008,03,1. YES,1. YES,1. YES,1. YES,1. YES,3. Wood,,6. Plastic Canvas,,1. YES,1. YES,2. NO,2. NO
020206088801304,1. RURAL,2. AFAR,02,06,8,88,013,04,1. YES,1. YES,1. YES,1. YES,2. NO,4. Stone,,9. Other (Specify),Afer,2. NO,2. NO,,2. NO
