ea_id,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq14,saq21
031007010100107,3. AMHARA,10,07,1,1,001,07,2. URBAN,**CONFIDENTIAL**
031101088800314,3. AMHARA,11,01,8,88,003,14,1. RURAL,**CONFIDENTIAL**
031101088800715,3. AMHARA,11,01,8,88,007,15,1. RURAL,**CONFIDENTIAL**
031105010500201,3. AMHARA,11,05,1,5,002,01,2. URBAN,**CONFIDENTIAL**
031201088800105,3. AMHARA,12,01,8,88,001,05,1. RURAL,**CONFIDENTIAL**
031201088800502,3. AMHARA,12,01,8,88,005,02,1. RURAL,**CONFIDENTIAL**
031301088800101,3. AMHARA,13,01,8,88,001,01,1. RURAL,**CONFIDENTIAL**
031301088800401,3. AMHARA,13,01,8,88,004,01,1. RURAL,**CONFIDENTIAL**
031303010300223,3. AMHARA,13,03,1,3,002,23,2. URBAN,**CONFIDENTIAL**
031401088800203,3. AMHARA,14,01,8,88,002,03,1. RURAL,**CONFIDENTIAL**
031401088800709,3. AMHARA,14,01,8,88,007,09,1. RURAL,**CONFIDENTIAL**
031405010100309,3. AMHARA,14,05,1,1,003,09,2. URBAN,**CONFIDENTIAL**
031503088800107,3. AMHARA,15,03,8,88,001,07,1. RURAL,**CONFIDENTIAL**
031506010100103,3. AMHARA,15,06,1,1,001,03,2. URBAN,**CONFIDENTIAL**
031506088800509,3. AMHARA,15,06,8,88,005,09,1. RURAL,**CONFIDENTIAL**
031511088801109,3. AMHARA,15,11,8,88,011,09,1. RURAL,**CONFIDENTIAL**
031603088801008,3. AMHARA,16,03,8,88,010,08,1. RURAL,**CONFIDENTIAL**
031604088800605,3. AMHARA,16,04,8,88,006,05,1. RURAL,**CONFIDENTIAL**
031605010100105,3. AMHARA,16,05,1,1,001,05,2. URBAN,**CONFIDENTIAL**
040116010100105,4. OROMIA,01,16,1,1,001,05,2. URBAN,**CONFIDENTIAL**
040203088800403,4. OROMIA,02,03,8,88,004,03,1. RURAL,**CONFIDENTIAL**
040212088800506,4. OROMIA,02,12,8,88,005,06,1. RURAL,**CONFIDENTIAL**
040302010100105,4. OROMIA,03,02,1,1,001,05,2. URBAN,**CONFIDENTIAL**
040302088801201,4. OROMIA,03,02,8,88,012,01,1. RURAL,**CONFIDENTIAL**
040310088800903,4. OROMIA,03,10,8,88,009,03,1. RURAL,**CONFIDENTIAL**
