household_id,parcel_id,ea_id,saq14,pw_w4,ParcelName1,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,s10bq03,s10bq04,s10bq05,s10bq05_os,s10bq06,s10bq06_os,s10bq07,s10bq08a,s10bq08b,s10bq08b_os
010102088801010161,3,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,161,1. YES,1. YES,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010102088801010173,1,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,173,1. YES,1. YES,1. Granted by Local Leaders,,1. RESIDENTIAL,,1. YES,,,
010102088801010173,2,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,173,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010102088801010173,3,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,173,2. NO,,1. Granted by Local Leaders,,,,,,,
010102088801010173,4,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,173,1. YES,2. NO,3. Rent,,2. AGRICULTURAL,,1. YES,,,
010102088801010173,5,010102088801010,1. RURAL,2821.537331879317,**CONFIDENTIAL**,1. TIGRAY,01,02,8,88,010,10,173,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709008,1,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,8,1. YES,1. YES,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709008,2,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,8,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709008,3,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,8,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709008,4,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,8,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709016,1,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,16,1. YES,1. YES,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709016,2,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,16,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709016,3,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,16,2. NO,,1. Granted by Local Leaders,,,,,,,
010103088800709016,4,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,16,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709024,1,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,1. YES,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709024,2,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709024,3,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709024,4,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709024,5,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709024,6,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,2. NO,,,
010103088800709024,7,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709024,8,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,24,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709032,1,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,32,1. YES,1. YES,2. Gift/Inherited,,1. RESIDENTIAL,,1. YES,,,
010103088800709032,2,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,32,1. YES,2. NO,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709032,3,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,32,2. NO,,2. Gift/Inherited,,,,,,,
010103088800709032,4,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,32,2. NO,,2. Gift/Inherited,,,,,,,
010103088800709032,5,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,32,2. NO,,2. Gift/Inherited,,,,,,,
010103088800709032,6,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,32,1. YES,1. YES,2. Gift/Inherited,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,1,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,1. YES,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,2,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,3,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,4,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,5,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,6,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,7,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,8,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,1. YES,2. NO,1. Granted by Local Leaders,,2. AGRICULTURAL,,1. YES,,,
010103088800709040,9,010103088800709,1. RURAL,1916.604145199063,**CONFIDENTIAL**,1. TIGRAY,01,03,8,88,007,09,40,2. NO,,1. Granted by Local Leaders,,,,,,,
